Comment,Designator,Footprint,LCSC Part #
10k,"R102,R112,R101,R113,R106,R108,R103",R_0603_1608Metric,C95204
0.01u,C101,C_0402_1005Metric,C85735
0.1u,C102,C_0402_1005Metric,C71629
0.47u,C103,C_0402_1005Metric,C126625
532610571,J101,CONN_532610001-SD_05_MOL,C17256390
533980271,"J103,J104,J105,J106",CONN02_533980271_MOL,C122410
PIC16F1459-ISS,IC101,SSOP-20_5.3x7.2mm_P0.65mm,C152208
